관리코드,상품명,규격
11-75-05,동서 리치스통단팥3kg(56),3kg*6
82-01,씨제이 이츠웰 살코기 덕용참치1.88kg,1.88kg*6
20-31,광동 비앙떼 허니유자 캐모마일500ml,500ml*20
20-31-01,광동 비앙떼 허니자몽 블랙티500ml,500ml*20
24-61,웅진 캐치티니핑 딸기200ml (104),200ml*24
24-62,웅진 캐치티니핑 사과200ml (104),200ml*24
24-63,웅진 캐치티니핑 복숭아200ml (104),200ml*24
24-64,웅진 캐치티니핑 유기농보리자200ml (104),200ml*24
24-65,웅진 캐치티니핑 유기농작두콩차200ml (104),200ml*24
31-47-07,환타 밀크소다345ml,345ml*24
35-18-06,참맑은 유자175ml (156),175ml*30
24-09-01,웰치스제로 샤인머스켓355,355ml*24
24-09-02,웰치스제로 오렌지355,355ml*24
27-23-01,델몬트알로에400,400ml*20
47-01,롯데 브레드이발소 오렌지망고,235ml*24
47-01-01,롯데 브레드이발소 포도사과,235ml*24
28-27,탐스 제로레몬355,355ml*24
28-28,탐스 제로사과키위355,355ml*24
28-29,탐스 제로오렌지355,355ml*24
31-13-04,파워에이드제로 600,600ml*20
31-47-09,환타 밀크소다 1.5,1.5L*12
27-15-05,펩시콜라제로250ml,250ml*30
28-52-01,미에로 스파클링제로 350,350ml*24
11-04-05,동원참치살코기(빅) 250g,250g*36
80-26-07,★면세 류씨네 한식용(중국산)2.5kg,2.5kg*4
20-04-01,광동비타제로블랙라벨500/100ml (40),100ml*100
13-73,보고잇수 500,500ml*20
13-74,보고잇수 330 (128),330ml*20
11-74-07,동서 리치스 파인청크3kg(48),3kg*6
39-308-200-02,오뚜기 팬더굴소스 2.27kg,2.27kg*6
13-73-01,보고잇수 500 (고급),500ml*20
13-74-01,보고잇수 330 (고급),330ml*20
15-15-07,햇반기획210g (8입*6) (48),210g*(8*6)
31-44-08,환타파인500ml(업소)(48),500ml*24
23-36-01,웅진자연은내사랑사과캔180 (132),180ml*30
28-25,나랑드 화이트콤부차제로 245캔,245ml*30
28-25-01,나랑드 화이트콤부차제로 400,400ml*24
11-39-03,동원꽁치400 6입,400g*6
23-36-02,웅진자연은내사랑토마토캔180 (132),180ml*30
50-71,동원스페셜21호/ 4세트(BOX),(살135g*6+카놀480ml*2+건강유480ml*1)*4
50-71-01,동원스페셜49호/ 6세트(BOX),(살90g*4+리챔더블라120g*4+참기름330ml*1)*6
50-72,동원참치M12호/ 5세트(BOX) (30),(살코기135g*8+살코기90g*4)*5
50-72-01,동원참치NS15호/ 6세트(BOX) (40),(살코기90g*10+고추90g*4)*6
50-72-02,동원참치V30호/ 5세트(BOX),(살코기150g*10+고추100g*5)*5
50-75,동원튜나리챔30호/ 5세트(BOX),(살코기90g*12+리챔더블라이트120g*3)*5
08-25-01,CJ 현명한선택FW호/ 5세트 (32),(스팸200*4+스팸120*4+발사믹식초500ml*1)*5
15-15-08,CJ 햇반210g (10입),(10입*3)
50-72-01-01,동원참치S14호/낱세트,
50-72-001,동원참치M12호/낱세트,
50-72-02-01,동원참치V30호/낱세트,
50-71-001,동원스페셜21호/낱세트,
50-71-01-03,동원스페셜49호/낱세트,
50-75-01,동원튜나리챔30호/낱세트,
68-05,상아 고려홍삼 절편삼20g,20g*8
81-57-01,갈아만든배 사이다제로 500,500ml*24
31-11-01,캐나다드라이/토닉워터300,300ml*24
31-24-01,닥터페퍼제로350(88),(350ml*24)
50-76,동원참치S12호/ 6세트(BOX),(살코기90g*12)*6
25-50-10,진로토닉워터 진저엘300ml,300ml*24
22-18-02,뿌요소다젤리,(52g*12)*4
81-44-01,★면세★ 백설 하선정까나리액젓 2.5kg(52) 골드,2.5kg*6
41-05,★면세★ 백설 하선정멸치액젓 골드 800g(60),800g*15
41-05-01,★면세★ 백설 하선정까나리액젓 800g(60) 골드,800g*15
08-20-02,백설 해바라기유500ml- 24년 3/1까지,500ml*12
08-20-03,백설 건강을생각한 요리유500ml,500ml*12
08-20-04,백설 바삭한 요리유500ml- 24년 7/24까지,500ml*12
08-20-05,백설 압착올리브유500ml,500ml*12
31-01-011,코카콜라제로190ml(업소),190ml*30
11-18,그린자이언트 니블렛 스위트콘340g,340g*24
12-01-10,동원보성홍차아이스티제로 복숭아 350ml (54),350ml*24
12-01-11,동원보성홍차아이스티제로 레몬 350ml,350ml*24
11-25,한성꽁치300g(80),300g*24
11-74-08,리치스 그린올리브 홀 피멘토캔 405g,405g*24
12-01-12,동원보성홍차아이스티제로 애플 500ml (54),500ml*24
12-01-13,동원보성홍차아이스티제로 샤인머스켓 500ml (54),500ml*24
50-75-02,동원튜나리챔77호(캔57호)/ 4세트 (BOX) (30),(살코기135g*8+고추135g*4+리챔200g*4)*4
24-49-07,카프리썬(정글)  (378),200ml*10
51-30,동원참치T12호/ 5세트 (40),(살코기135g*12)*5
51-30-01,동원참치T14호/ 5세트 (30),(살코기135g*10+고추135g*4)*5
51-30-02,동원참치T21호/ 3세트 (32),(살코기135g*10+고추135g*5+야채135g*3+찌개135g3)*3
51-31,동원참치S12호/ 6세트 (40),(살코기90g*12)*6
81-12-01,웅진 자연은샤인머스켓500ml,(500ml*20)
38-09-08,동화 부채표쌍화원100ml,(100ml*50)
11-39-05,동원꽁치300g (96),300g*24
00-15,택배비 - 3500,
32-16-08,해태 미닛자몽에이드탄산뚱캔355,355ml*24
28-24-07,나랑드사이다제로500 (24입),500ml*24
20-01-01,광동 옥수수수염차340 (104),340ml*20
2-01,해태 갈아만든배사이다210ml,(210ml*30)
22-16-07,뽀로로워터젤리(오렌지)120ml,(120ml*40)
31-31-01,킨사이다190ml,(190ml*30)
00-16,택배비 - 4000,
23-50-01,웅진 레몬셔벗에이드제로1.5 (48),(1.5L*12)
23-51-02,웅진 레몬셔벗에이드제로500,500ml*20
23-51-03,웅진 애플셔벗에이드제로1.5 (48),(1.5L*12)
23-51-04,웅진 애플셔벗에이드제로500,500ml*20
20-07-04,광동 헛개차340(104),340ml*20
20-01-02,광동옥수수340(특판),(340ml*20)
20-06-02,광동비타500칼슘100ml(인터넷용),(100ml*100)
20-90,광동 썬키스트 모과생강 280ml,280ml*24
20-90-01,광동 썬키스트 허니유자 280ml,280ml*24
20-90-02,광동 썬키스트 레몬에이드 500ml,500ml*24
25-50-11,진로토닉워터제로 솔 300ml,300ml*24
29-07-02,탑씨 블루레몬에이드 1.5 (40),1.5L*12
31-04-03,코카콜라500제로(업소)/48,500ml*24
12-41,동원 쿨피스 제로 테트라 복숭아 140 (216),140ml*24
12-41-01,동원 쿨피스 제로 테트라 자두 140(216),140ml*24
24-60,웅진 캐치티니핑 밀크200ml (104),200ml*24
23-40-04,일화차시 호박팥차500ml,(500ml*20
25-50-12,진로토닉워터제로 와일드피치300ml,300ml*24
21-03-01,남양프렌치카페 악마의유혹마일드라떼250ml,(250ml*10)
31-03-10,몬스터 에너지 피치킨(살구벚꽃)355,355ml*24
53-01,해표 식용유1.8L (32),1.8L*12
53-01-01,사조 콩기름0.5L,0.5L*30
53-01-02,사조 콩기름0.9L,0.9L*20
53-01-03,사조 옥수수유1.8L,1.8L*12
53-01-04,사조 올리브유900ml,900ml*12
53-01-05,사조 바삭요리유900ml,900ml*12
53-01-06,사조 깔끔요리유900ml,900ml*12
53-01-07,사조 카놀라유900ml,900ml*12
53-01-08,사조 포도씨유900ml,900ml*12
15-07-01,사조 살코기참치85g,85g*48
15-07-02,사조 찌개참치85g,85g*48
15-07-03,사조 통살참치 황다랑어100g,100g*48
15-07-04,사조 통살참치 마라100g,100g*48
15-07-05,사조 통살참치 트러플100g,100g*48
15-07-06,사조 통살참치 알바코100g,100g*48
15-07-07,사조참치 고추할라피뇨100g,100g*48
15-07-08,사조참치 간장버터100g,100g*48
15-07-09,사조참치 짜장100g,100g*48
15-07-10,사조참치 토마토커리100g,100g*48
15-07-11,사조 생생참치 레귤러115g,115g*24
53-02,사조 순창궁 초고추장320g,320g*20
53-02-01,사조 순창궁 초고추장530g,530g*20
53-02-02,사조 순창궁 초고추장170g,170g*24
53-02-03,사조 순창궁 새콤상큼초고추장1kg,1kg*12
53-03,사조 더고소한파래김16p,16p*8
53-03-01,사조 더고소한재래김16p,16p*8
58-01,사조 라이트팜200g,200g*48
58-01-01,사조 안심팜340g,340g*24
59-01,사조 고소한참기름320ml,320ml*12
59-01-01,사조 고소한참기름500ml,500ml*12
59-01-02,사조 고소한참기름55ml,55ml*30
59-02-01,사조 맛술800ml,800ml*15
15-09-01,사조 한알레시피 한우80g,80g*20
15-09-02,사조 한알레시피 해물80g,80g*20
15-09-03,사조 한알레시피 사골68g,68g*20
15-02-01,사조 부침가루1kg,1kg*10
15-02-02,사조 튀김가루1kg,1kg*10
53-04-01,사조 물엿1.2kg,1.2kg*12
53-04-02,사조 물엿700g,700g*20
53-01-09,사조 올리고당700g,700g*20
53-01-10,사조 올리고당1.2kg,1.2kg*12
53-01-11,사조 조청1.2kg,1.2kg*12
53-01-12,사조 양조식초1.8L,1.8L*8
53-01-13,사조 사과식초1.8L,1.8L*8
15-04-11,사조 고등어300g,300g*24
15-04-10,사조 꽁치300g,300g*24
79-01,사조 참치액900g,900g*10
79-01-01,사조 홍게액900g,900g*12
79-01-02,사조 프리미엄꽃게액550ml,550ml*12
79-01-03,사조 참육수 멸치다시마500g,500g*12
79-01-04,사조 프리미엄참치액550ml,550ml*12
79-01-05,사조 참치액 칼칼한맛900g,900g*10
79-02-01,사조 24/7뼈없는소갈비탕500g,500g*16
79-02-02,사조 24/7사골돼지국밥500g,500g*16
79-02-03,사조 24/7진한사골곰탕500g,500g*16
59-01-03,사조 참진한들기름320ml,320ml*12
38-01,사조 쫄깃한당면500g,500g*20
38-02,사조 볶음참깨180g,180g*20
48-01,사조 365.24오리지널육포30g,30g*30
48-01-01,사조 365.24오리지널구운육포30g,30g*30
64-01,사조 팝콘오리지널80g,80g*48
64-01-01,사조 팝콘버터맛80g,80g*48
64-01-02,사조 팝콘달콤한맛80g,80g*48
09-51,★면세★ 사조 순창궁태양초골드고추장 1.8kg+450g,(1.8kg+450g)*6
09-51-01,★면세★ 사조 순창궁태양초골드고추장500g,500g*20
09-51-02,★면세★ 사조 순창궁태양초골드고추장170g,170g*24
09-51-03,★면세★ 사조 순창궁우리햅쌀고추장170g,170g*24
09-51-04,★면세★ 사조 순창궁태양초골드고추장1kg,1kg*8
09-51-05,★면세★ 사조 순창궁우리햅쌀고추장500g,500g*20
09-51-06,★면세★ 사조 순창궁우리햅쌀고추장1kg,1kg*8
09-51-07,★면세★ 사조 순창궁매운햅쌀고추장500g,500g*20
91-51-08,★면세★ 사조 순창궁재래식된장500g,500g*20
91-51-09,★면세★ 사조 순창궁재래식된장1kg,1kg*8
91-51-10,★면세★ 사조 순창궁재래식된장170g,170g*24
91-51-11,★면세★ 사조 순창궁12가지양념쌈장170g,170g*24
91-51-12,★면세★ 사조 순창궁12가지양념쌈장500g,500g20
91-51-13,★면세★ 사조 순창궁12가지양념쌈장1kg,1kg*8
09-56-01,★면세★ 사조 완도미역100g,100g*30
09-56-02,★면세★ 사조 완도미역45g,45g*40
09-57-01,★면세★ 사조 멸치디포리 다시팩15g,(15g+10)*16
09-57-02,★면세★ 사조 새우해물 다시팩15g,(15g+10)*16
09-57-03,★면세★ 사조 야채 다시팩15g,(15g+10)*16
09-57-04,★면세★ 사조 얼큰 다시팩15g,(15g+10)*16
09-71-01,★면세★ 사조 찹쌀가루350g,350g*30
09-71-02,★면세★ 사조 중력밀가루1kg,1kg*10
09-71-03,★면세★ 사조 우리밀밀가루750g,750g*14
09-74-01,★면세★ 사조 꽃소금1kg,1kg*14
09-74-02,★면세★ 사조 꽃소금500g,500g*30
09-74-03,★면세★ 사조 천일염1.5kg,1.5kg*10
09-74-04,★면세★ 사조 천일염3kg,3kg*5
09-74-05,★면세★ 사조 순후추100g,100g*24
03-76-01,★면세★ 해표 진간장S 1.8L,1.8L*8
03-76-02,★면세★ 사조해표 국간장1.8L,1.8L*8
03-76-03,★면세★ 해표 양조간장1.8L,1.8L*8
23-76,가야웅진 깊을수록(무라벨)물 500ml (112),500ml*20
31-01-08,코카콜라제로245ml(업소용)슬림(99),245ml*30
22-04-00,비락식혜제로1.5 (48),1.5L*8
22-01-06,비락식혜제로238 (120),238ml*24
35-21,동원 순백보리차500ml,500ml*20
25-50-13,진로토닉워터제로 600ml,600ml*20
28-24-06-01,나랑드사이다제로245ml,(245ml*30)
28-24-08,나랑드사이다 파인제로500 (24입),500ml*24
39-34,씨제이 굿딜 구포국수3kg (60),3kg*6
35-18-07,참맑은 사과175ml (156),175ml*30
35-18-08,참맑은 배175ml(156),175ml*30
35-18-09,참맑은 머스캣175ml (156),175ml*30
24-704-08,동서 스타벅스 더블샷바닐라275ml,275ml*24
20-90-03,광동 썬키스트 오렌지소다 355ml,355ml*24
20-90-04,광동 썬키스트 오렌지소다 600ml,600ml*24
20-90-05,광동 썬키스트 오렌지소다 1.5L,1.5L*12
20-90-06,광동 썬키스트 자몽소다 355ml,355ml*24
20-90-07,광동 썬키스트 자몽소다 600ml,600ml*24
20-90-08,광동 썬키스트 자몽소다 1.5L,1.5L*12
21-004,사과야팩,190ml*24
21-004-01,청포도야팩,190ml*24
24-34-02,동서 레드불 퍼플에디션250,250ml*24
31-05-001,코카콜라제로(업소) 1.25(45),1.25L*12
38-09-09,동화 시원하게 비우는 배러라이트120g,120g*(10병*10)
38-09-10,동화 환하게 빛나는 배러라이트120g,120g*(10병*10)
20-07-05,광동옥수수수염차340 (80) (24입),340ml*24
27-331,마운틴듀 제로슈거355ml,355ml*24
12-15-01,해태 큰집식혜 72입,(238ml*72)
31-13-06,파워에이드 스칼렛스톰600,600ml*20
28-24-09,나랑드사이다 애플제로500 (24입),500ml*24
15-06-75,사조해표 마일드참치85g,85g*48
31-03-11,몬스터에너지 오지스타일 레모네이드(파랑노랑)355,355ml*24
22-13-03,뽀로로 복숭아 (117),235ml*24
32-13-01,해태 과일촌 배드링크175ml,175ml*30
32-13-02,해태 과일촌 과일믹스드링크175ml,175ml*30
35-18-10,참맑은 비스카페라떼175ml(143),175ml*30
24-173,티오피 마스터라떼275(6팩)/110,275ml*24
24-35-01,티오피 마스터라떼380(6팩)/80,380ml*24
24-35-02,티오피 스위트아메리카노380(6팩)/80,380ml*24
24-35-03,티오피 더블랙380(6팩)/80,380ml*24
55-01-06,컨디션스틱 자두맛 18g,18g200
55-01-07,컨디션스틱 망고맛 18g,18g*200
28-52-02,미에로 스파클링제로250ml (120),250ml*30
91-51-14,★면세★ 사조 태양초고추장1.9kg,1.9kg*(1.5kg+400g)*6
91-51-15,★면세★ 사조 맛있는양념쌈장진1.9kg,1.9kg*(1.5kg+400g)*6
15-04-14,사조 자연산골뱅이300g,300g*24
32-01-05,해태 봉봉 아이스티제로 복숭아500ml,500ml*24
32-01-06,해태 봉봉 아이스티제로 자몽500ml,500ml*24
31-50-04,코카콜라/토레타제로500,500ml*24
20-02-02,광동 옥수수수염차500ml(72),500ml*20
27-100-01,아이시스500/롯데칠성(96),500ml*20
27-15-06,펩시콜라 제로파인애플355ml,355ml*24
23-13-04,웅진아침햇살고구마 500,500ml*20
23-13-02,웅진아침햇살옥수수 500,500ml*20
81-12-02,웅진 자연은샤인머스켓캔180ml (132),180ml*30
20-09-01,광동헛개1.5(52),(1.5L*12)
12-15-02,해태 큰집식혜 24입,238ml*24
24-071-10,맥스웰 마스터블랙(6팩)500,(500ml*24)
24-071-08,맥스웰 마스터라떼(6팩)500,(500ml*24)
24-071-09,맥스웰 마스터스위트블랙(6팩)500,(500ml*24)
20-08-04,광동헛개500ml(72),500ml*20
20-03-01,광동 옥수수수염1.5(52),(1.5*12)
22-13-04,빅 뽀로로제로 밀크,360ml*24
22-13-05,빅 뽀로로제로 딸기,360ml*24
100-99,씨그램플레인 190,190ml*30
27-37-02,펩시콜라제로 라임355(소매점용)(99),355ml*24
31-48,환타파인제로 355,355*24
54-21-01,팔도비빔면 2 (32입),4*8
26-27-07,웅진 티즐 제로 딸기루이보스500 (80),500ml*20
23-58,웅진 자연은 더말린 제로 리치 500,500ml*20
12-37-03,동원헛개차350 (24입),350ml*24
45-10-05,Cj 스팸3k호/4세트(32),[(200g*6)+(300g*6)]*4
27-91-03,립톤복숭아제로뚱캔355,355ml*24
20-90-09,광동 썬키스트 포도주스1.5,1.5L*12
20-90-10,광동 썬키스트 사과주스1.5,1.5L*12
20-90-11,광동 썬키스트 감귤주스1.5L(48),1.5L*12
45-12-06,CJ 스팸특별한선택 H-2호 (32)/5세트,(스팸클120g*4+카놀라유2+올리고당1)*5
12-30,동원 양반 이천쌀 식혜238ml(140),238ml*24
34-21,동원 레몬녹차350  (24입),350ml*24
81-22-03,조지아 크래프트 블랙470,470ml*24
23-59,웅진 자연은 더말린 제로배500,(500ml*20)
04-01,성진켐 리오락스 1L,1L*12
04-01-01,성진켐 리오락스 2L(60),2L*6
16-32,신세계 파인애플슬라이스3kg,3kg*6
30-12-00,블랙보리누룽지 520ml,520ml*20
31-17-00,스프라이트슬림 245(업소용),245ml*30
67-73,우리곡물 크리스피롤23 크림치즈,500g*8
67-73-01,우리곡물 크리스피롤23 인절미,500g*8
32-01-01,해태포도봉봉제로340,340ml*24
36-83-06,태원종이컵 (72),(6.5온스*20)
08-37-05,백설 고소함가득 참기름 450ml,4540ml*12
31-07-01,태양의 마테차 500,500ml*24
23-34-05,웅진 자연은사과캔 180(132),180ml*30
31-48-01,환타오렌지제로 355,355ml/*24
23-19-05,웅진 초록매실스파클링제로펫350,(350ml*24)
50-71-02,동원스페셜5호/ 5세트(BOX)/32,(살코기90g*6+리챔120g*3+카놀*2)*5
50-71-03,동원프리미엄60호 / 5세트(BOX) (16),(살코기90g*9+참치액*1+참기름*2+요리유*2)
45-20-+01,애경사랑다온14호(5세트)(32),(1세트)*5
45-20-02,애경사랑19호(4세트)(24),(1세트)*4
51-30-03,동원참치T18호 / 3세트 (32),(살코기135g*18)*3
67-74,명가 꽈배기 참깨 (45),500g*16
67-74-01,명가 꽈배기 흑당 (45),500g*16
23-10-02,웅진 자연은달콤감귤 1.5 (48),1.5L*12
27-04-07,롯데 밀키스제로딸기바나나250,(250ml*30)
31-47-03,환타제로오렌지350ml,(350ml*24)
31-47-04,환타제로파인350ml,(350ml*24)
31-47-05,환타제로포도350ml,350ml*24
31-44-07,환타오렌지500ml(업소),(500ml*24)
31-43,환타오렌지190 (126),
31-42-01,환타파인250,
30-12-99,블랙보리누룽지 1.5L,1.5L*12
15-03-10,스팸클래식 300g (96),(300g*20)
15-02-11,스팸마일드 25% 라이트 300g,(300g*20)
15-03-11,스팸 마일드 25%라이트300g,(300g*20)
12-18-01,동원 쿨피스톡제로 파인애플펫340(77),(340ml*24)
21-003-03,과수원팩(오렌지),190ml*24
11-74-06,동서 리치스파인애플(슬)3kg (48),3kg*6
28-43,모닝케어 프레스온 양배추G(위)/56,106g*(10병*5)
28-43-01,모닝케어 프레스온 밀크씨슬H(간)/56,106g*(10병*5)
32-30-03,갈아만든배 사이다제로355,(355ml*24)
23-13-01,웅진아침햇살제로500,(500ml*20)
23-60,웅진 카무트현미차(아셉틱)500,(500ml*20)
23-19-06,웅진 초록매실스파클링제로캔350,(350ml*24)
66-07,선푸드 검은깨쌀누룽지칩,270g*10
66-01,선푸드 고소한 누룽지칩 콩,180g*20
66-01-01,선푸드 고소한 누룽지칩,180g*20
20-14-03,광동비타500 240캔(24입) (132),240ml*24
66-06,선푸드 미니오색뻥,130g*20
31-18-00,미닛메이드 쿠우오렌지 300,300ml*24
35-18-11,참맑은 비스더블랙175ml (156),175ml*30
29-16,일화 레몬녹차340 (144),340ml*20
27-15-07,펩시콜라제로 모히또355(소매점용),355ml*24
11-05-11,동원 고추참치기획135g(10입)/ 84,(135g*10)*6set)
27-25-02,칠성사이다제로500 (업소용) (77),500ml*20
31-16-01,파워에이드제로 1.5 (32),1.5L*12
20-13-02,피크닉젤리 사과 8입 (64),(45g+8)*5
20-13-03,피크닉젤리 청포도 8입 (64),(45g+8)*5
20-13-04,피크닉젤리 복숭아 8입 (64),(45g+8)*5
20-13-11,엔요 요구르트젤리 8입 (64),(45g+8)*5
20-13-12,엔요 요구르트젤리(딸기) 8입 (64),(45g+8)*5
30-12-05,블랙보리제로라이트1.5,(1.5L*12)
15-04-01,스팸기획클래식300g(3입) (72),(300g*3)*8
29-30-02,키위 에이드340,(340ml*24)
31-17-1,스피라이트제로chill350,(350ml*24)
31-17-08,스프라이트 제로 chill 아이스블라스트350,(350ml*24)
31-47-10,환타멜론350,(350ml*24)
31-47-11,환타 제로 상큼피치350,(350ml*24)
65-53,싱싱푸드 양파를 품은 메밀칩,160g*8
65-53-01,푸드킹 대파맛 메밀칩,160g*10
26-36,티도씨 자몽500,500ml*20
26-36-01,티도씨 체리500,500ml*20
30-13-01,티도씨체리500,(500ml*20)
55-72,새싹보리 블랙,500ml*24
55-38,티로그 애플청포도 아이스티 제로 500,500ml*24
55-38-01,티로그 루비자두 아이스티 제로 500,500ml*24
66-08,우리곡물23 크리스피롤 미니 초코,1kg*3
66-08-01,우리곡물23 크리스피롤 미니 치즈,1kg*3
12-01-09,동원 윤곽나인제로500/54,(500ml*24)
28-040-01,블랙빈테라티340,(340ml*20)
48-34,NINE 야채크래커,440g*18
48-69,아임에이드 블루레몬에이드,230ml*(10개*5곽)
48-69-01,아임에이드 블루베리에이드,230ml*(10개*5곽)
48-69-02,아임에이드 레몬에이드,230ml*(10개*5곽)
48-69-03,아임에이드 수박에이드,230ml*(10개*5곽)
48-69-04,아임에이드 망고에이드,230ml*(10개*5곽)
48-69-05,아임에이드 복숭아아이스티,230ml*(10개*5곽)
31-18-03,미닛메이드 시그니처토마토350,350ml*24
31-46-02,환타멜론600,(600ml*24)
31-17-09,스프라이트350,(350ml*24)
31-17-10,스프라이트제로350,(350ml*24)
29-67,일화 팅글 레몬애사비소다,250ml*30
65-01-01,페리에라임500ml,(500ml*24)
31-22,코카콜라제로250(99),
31-47-12,환타오렌지350,350ml*24
31-47-13,환타파인350,(350ml*24)
31-47-14,환타포도350,350ml*24
29-68,분다버그핑크그레이프푸르트375(110),(375ml*12)
28-06-01,화이브미니 (50입),100ml*50
23-19-09,웅진 초록매실스파클링제로캔350,(350ml*24)
01-19-10,청정원 스페셜S호/4세트(32),
IMADE10EA-48-69-09,아임에이드 블루레몬에이드 230ml*10 [IMADE10EA-48-69],
45-10-09, CJ 스팸12K호 (40) (4세트), 1세트*4
27-21-05,롯데칠성 델몬트오렌지드링크팩190,(190ml*32)
27-21-06,롯데칠성 델몬트사과드링크팩190,(190ml*32)
27-21-07,롯데칠성 델몬트망고드링크팩190,(190ml*32)
27-39-05,롯데칠성 쌕쌕오렌지240,(240ml*30)
27-75-06,롯데칠성 오늘의차 옥수수수염펫500,(500ml*24
27-21-08,롯데칠성 델몬트포도드링크팩190,(190ml*32)
27-04-04,밀키스제로500 (6입),500ml*6
20-67,광동 발효홍삼골드,100ml*(14*5)
20-67-01,광동 산삼배양근진액,100ml*(12*5)
27-24-03,게토레이 블루볼트600,(600ml*6)
28-13-36,현대약품 흑생,(75ml*10입)*5
00-01,택배비 - 2100,
45-28,CJ스팸복합100호 / 3세트(32),(카놀*2+스팸200g*8+340*2+120*2)
22-04-08,비락수정과1.5 (12입),1.5L*12
29-63,일화 6년근 통째로먹는 고려 홍삼정과,320g(40g*8입)*10
23-22-02,웅진 자색옥수수수염차500,(500ml*20)
23-39-02,웅진 자색옥수수수염차1.5,(1.5L*12)
23-50-05,웅진 자연은배1.5,(1.5*12)
27-12-05,롯데칠성 레쓰그란데라떼500(6입),(500ml*6)
28-24-10,나랑드사이다1.5,(1.5*12)
23-39..,웅진 옥수수수염차 1.5L 12개,
11-01-04,동원 고추참치135g,135g*48
31-24-05,닥터페퍼 제로 스트로베리크림350,(350ml*24)
27-014-02,핫식스 더킹 퍼플그레이프355,(355*24)
52-86,김소형 원방 흑염소 진액스틱,15g*100p
52-86-01,동의삼 침향기력보환,(3.75g*60)*10
45-12-05,CJ최고의선택 레드라벨/ 3세트,(스팸200g*8+스팸120g*5+카놀라*2)
27-75-08,롯데칠성 오늘의차 황금보리500,(500ml*24)
"24-173, 24-175","TOP(티오피) 마스터 / 블랙(275ml,24+24)[T]",
31-22-05,코카콜라350,(350ml*24)
31-22-06,코카콜라제로350,(350ml*24)
31-22-07,코카콜라제로레몬350,(350ml*24)
28-53-05,미에로 꿀모과배숙,(280ml*24)
11-40-002,동원참치기획100g(살3+고2),(살코기100g*3+고추100g*2)*20
36-50,모구모구 리치맛320ml,320ml*24
36-51,모구모구 피치맛320ml,320ml*24
36-52,모구모구 요거트맛320ml,320ml*24
36-53,모구모구 망고맛320ml,320ml*24
36-40,웰 바질시드 리치맛290ml,290ml12
36-41,웰 바질시드 망고맛290ml,290ml*12
36-42,웰 바질시드 백포도맛290ml,290ml*12
36-43,웰 바질시드 블루베리맛290ml,290ml*12
36-44,웰 바질시드 패션푸르트맛290ml,290ml*12
65-53-02,김에빠진 메밀칩,160g*8
18-03-20-01,삼아황도슬라이스,2.9kg*6
18-48-04-01,삼아키드니빈스400g,400g*24
18-131-30-01,삼아완두콩3kg,3kg*6
18-220-20-01,삼아밤감로자홀,2950g*6
18-216-20-01,삼아베이키드빈스2.6kg,2.6kg*6
18-48-20-01,삼아키드니빈스2.5kg,2.5kg*6
18-311-08-01,삼아파인원액,835ml*12
18-311-08-02,삼아키위원액,835ml*12
18-311-08-03,삼아오렌지원액,835ml*12
18-311-08-04,삼아딸기원액,835ml*12
62-39-01,튀룽 갈릭어니언맛,77g*20
62-39,튀룽 오리지널맛,77g*20
62-39-02,튀룽 매콤떡볶이맛,77g*20
62-39-03,튀룽 구운오징어맛,77g*20
96-177-05-01,대봉 삼색푸실리,500g*24
95-256-09-01,르씨엘 레몬후르츠쥬스,946ml*12
94-28-03-01,미드봉 크러쉬드레드페퍼 면세,340g*12
94-01-04-01,미드봉 흑후추 면세,400g*20
93-121-02-01,영흥 오토터키산 월계수잎,230g*6
92-288-20-04,정성 잡화꿀,2.4kg*8
36-152-20-02,대상 청정원 돼지불고기양념 2kg,2kg*8
15-244-10-01,백설 맛소금,1kg*10
18-294-10-01,네슬레 메기 치킨스톡,1.2kg*6
14-52-05,크리스탈무라벨 500ml (119),(500ml*20)
97-25-02-01,신영 페페로치노홀200g/면세,200g*12
98-40-05-01,토호 튀긴마늘슬라이스500g,500g*12
99-79-10-01,아담스 파마산치즈가루,1kg*10
16-300-20-12,롯데 데리야끼소스 스파우트,2kg*6
15-03-13,스팸기획 마일드200g(3입),(200g+3)*12
27-26-02,펩시콜라제로1.25(업소용)/60,(1.25ml*12)
68-205-01-02,천우 빙초산,180ml*20
20-90-00,광동 썬키스트 도라지꿀배280ml,280ml*24
42-36,진솔 꼬소명가 착한참기름350ml,350ml*20
42-36-01,진솔 꼬소명가 착한들기름350ml,350ml*20
27-02-04,롯데칠성  이프로제로500ml,500ml*24
21-15-08,펩시콜라 제로슈거 라임향제로카페인355,(355ml*24)
186-300-05-01,아메리칸가든 히코리 바베큐소스510g,510g*12
68-177-05-08,디벨라 페투치네12호,500g*24
11-138-20-02,화남 스위트콘2.84kg,2.84kg*6
86-66-05-0211,컨츄리타임레몬에이드 분말가루,538g*12
27-261-30-03,삼도 해울찬락교,3kg*6
195-178-02-01,에이원 크래프트 스테이크소스,283ml*12
128-300-30-01,위레스코 킴벨칠리소스,3kg*6
32-176-30-02,헌트 안젤라미아 스파게티소스,2.95kg*6
156-191-06-01,제니스 소가루 비프베이스,680g*24
11-89-20-01,화남 고흥꿀유자차,2kg*6
11-61-09-01,화남 시바스케이퍼,1kg*6
92-288-20-03,정성 잡화청,2.4kg*8
97-42-20-01,무띠 토마토홀,2.5kg*6
