관리코드,낱개개수,원코드,구분
CMMS50T1EA-24-11-01,1,24-11-01,소분
CMN200T1EA-24-12-10,1,24-12-10,소분
CMR30T1EA-21-108-02,1,21-108-02,소분
CMR30T1EA-21-108-05,1,21-108-05,소분
RAM120G10EA-22-51,10,22-51,소분
RAM5EA-54-21,1,54-21,소분
RAM86G8EA-81-04,8,81-04,소분
RAM5EA-54-07,5,54-07,소분
RAM5EA-39-91-01,5,39-91-01,소분
RAM5EA-39-91,5,39-91,소분
RAM5EA-54-01,5,54-01,소분
RAM5EA-54-10,5,54-10,소분
SS500G2EA-15-19,2,15-19,소분
SS1KG1EA-15-20,1,15-20,소분
SS1P2KG3EA-15-87-03,3,15-87-03,소분
SS1P2KG3EA-15-87-04,3,15-87-04,소분
PD1KG5EA-08-45,5,08-45,소분
PD1KG5EA-08-46,5,08-46,소분
RC850G6EA-11-74-02,6,11-74-02,소분
RC850G6EA-11-74-04,6,11-74-04,소분
GB140G12EA-10-02,12,10-02,소분
GB130G12EA-10-07,12,10-07,소분
GB280G6EA-10-14,6,10-14,소분
GB230G6EA-10-01,6,10-01,소분
GB130G12EA-19-17,12,19-17,소분
GB280G6EA-10-29,6,10-29,소분
GB130G12EA-14-15,12,14-15,소분
GB300G6EA-10-00-02,6,10-00-02,소분
GB280G6EA-10-14-02,6,10-14-02,소분
GB230G6EA-46-04-01,6,46-04-01,소분
GB140G12EA-46-04-02,12,46-04-02,소분
GB280G6EA-10-21,6,10-21,소분
YZ285G6EA-11-23,6,11-23,소분
YZ285G6EA-11-28,6,11-28,소분
YZ285G6EA-11-28-02,6,11-28-02,소분
YZ285G6EA-11-24,6,11-24,소분
FH6-19-20,6,19-20,소분
FH6-14-13-01,6,14-13-01,소분
FH6-14-13,6,14-13,소분
FH6-14-12,6,14-12,소분
FH6-14-10,6,14-10,소분
FH6-14-02-02,6,14-02-02,소분
FH6-14-01,6,14-01,소분
FH6-11-17,6,11-17,소분
FH6-10-08-02,6,10-08-02,소분
FH6-10-04,6,10-04,소분
FH6-10-00,6,10-00,소분
KRPY1EA-67-73,1,67-73,소분
KRPY1EA-67-73-01,1,67-73-01,소분
MGG1EA-67-74,1,67-74,소분
MGG1EA-67-74-01,1,67-74-01,소분
MGG1EA-48-34,1,48-34,소분
NRG1EA-66-07,1,66-07,소분
GNRG1EA-66-01,1,66-01,소분
GNRG1EA-66-01-01,1,66-01-01,소분
50-21-01,1,50-21-01,선물세트
01-19,1,01-19,선물세트
01-17-03,1,01-17-03,선물세트
07-31,1,07-31,선물세트
50-24-01,1,50-24-01,선물세트
50-18,1,50-18,선물세트
50-01,1,50-01,선물세트
50-03,1,50-03,선물세트
50-20-01,1,50-20-01,선물세트
50-05,1,50-05,선물세트
50-32,1,50-32,선물세트
50-40,1,50-40,선물세트
50-02,1,50-02,선물세트
50-00,1,50-00,선물세트
45-09-01,1,45-09-01,선물세트
45-12-04,1,45-12-04,선물세트
45-07-03,1,45-07-03,선물세트
45-27,1,45-27,선물세트
45-11,1,45-11,선물세트
45-21,1,45-21,선물세트
45-18-02,1,45-18-02,선물세트
45-05,1,45-05,선물세트
45-07,1,45-07,선물세트
01-19-04,1,01-19-04,선물세트
45-08,1,45-08,선물세트
01-19-02,1,01-19-02,선물세트
01-19-06,1,01-19-06,선물세트
45-10-01,1,45-10-01,선물세트
50-75,1,50-75,선물세트
50-72-02,1,50-72-02,선물세트
50-71,1,50-71,선물세트
50-71-01,1,50-71-01,선물세트
16-31-02,1,16-31-02,선물세트
50-72-01,1,50-72-01,선물세트
50-72,1,50-72,선물세트
08-25-01,1,08-25-01,선물세트
50-75-02,1,50-75-02,선물세트
45-06,1,45-06,선물세트
50-76,1,50-76,선물세트
51-30,1,51-30,선물세트
51-30-01,1,51-30-01,선물세트
51-30-02,1,51-30-02,선물세트
51-31,1,51-31,선물세트
45-10-05,1,45-10-05,선물세트
50-71-03,1,50-71-03,선물세트
51-30-03,1,51-30-03,선물세트
50-71-02,1,50-71-02,선물세트
45-20-+01,1,45-20-+01,선물세트
45-20-02,1,45-20-02,선물세트
01-17,1,01-17,선물세트
45-12-06,1,45-12-06,선물세트
01-19-10,1,01-19-10,선물세트
45-10-09,1,45-10-09,선물세트
83-62-01,1,83-62-01,선물세트
83-62,1,83-62,선물세트
11-74-05,1,11-74-05,3kg
11-75-05,1,11-75-05,3kg
11-75-02,1,11-75-02,3kg
11-74,1,11-74,3kg
11-75-01,1,11-75-01,3kg
11-74-03,1,11-74-03,3kg
11-74-07,1,11-74-07,3kg
24-15-03,1,24-15-03,230t
A6_24-61,6,24-61,올웨이즈티니핑
A6_24-62,6,24-62,올웨이즈티니핑
A6_24-63,6,24-63,올웨이즈티니핑
A6_24-64,6,24-64,올웨이즈티니핑
A6_24-65,6,24-65,올웨이즈티니핑
81-27,10,81-27,칸타타파우치
81-28,10,81-28,칸타타파우치
81-29,10,81-29,칸타타파우치
81-30,10,81-30,칸타타파우치
BT15EA-25-59-03,15,25-59-03,병1곽
BT10EA-25-273,10,25-273,병1곽
BT10EA-25-40-02,10,25-40-02,병1곽
BT10EA-20-10,10,20-10,병1곽
BT10EA-20-04,10,20-04,병1곽
BT10EA-28-06,10,28-06,병1곽
BT10EA-28-50,10,28-50,병1곽
BT10EA-38-09-03,10,38-09-03,병1곽
BT10EA-20-12-01,10,20-12-01,병1곽
BT10EA-28-13,10,28-13,병1곽
BT10EA-28-13-05,10,28-13-05,병1곽
BT10EA-55-09,10,55-09,병1곽
BT10EA-55-01-02,10,55-01-02,병1곽
BT10EA-55-01,10,55-01,병1곽
BT10EA-81-40,1,81-40,병1곽
IMADE10EA-48-69,10,48-69,아임에이드
IMADE10EA-48-69-01,10,48-69-01,아임에이드
IMADE10EA-48-69-02,10,48-69-02,아임에이드
IMADE10EA-48-69-03,10,48-69-03,아임에이드
IMADE10EA-48-69-04,10,48-69-04,아임에이드
IMADE10EA-48-69-05,10,48-69-05,아임에이드
PC001323,1,39-126-06,낱개1개
PC003582,1,21-108-110-11,낱개1개
PC001066,1,10-07,낱개1개
PC001081,1,10-02,낱개1개
PC001958,1,08-28,낱개1개
PC002457,1,46-04-02,낱개1개
PC003422,1,15-05,낱개1개
PC003913,1,53-01,낱개1개
PC001080,1,10-01,낱개1개
PC002510,1,11-03,낱개1개
PC002511,1,11-04,낱개1개
PC002652,1,11-16,낱개1개
PC002668,1,11-21,낱개1개
PC003265,1,15-07,낱개1개
PC003607,1,15-15-06,낱개1개
PC000346,1,14-10,낱개1개
PC001065,1,10-29,낱개1개
PC001069,1,10-14,낱개1개
PC001070,1,10-14-02,낱개1개
PC001765,1,18-01,낱개1개
PC002390,1,16-01,낱개1개
PC000345,1,14-03.,낱개1개
PC000351,1,14-04,낱개1개
PC001083,1,10-13,낱개1개
PC001767,1,18-02,낱개1개
PC003695,1,14-13-01,낱개1개
PC000356,1,14-01,낱개1개
PC000359,1,14-02-02,낱개1개
PC000362,1,14-12,낱개1개
PC000363,1,14-13,낱개1개
PC001074,1,10-04,낱개1개
PC002456,1,46-04,낱개1개
PC000669,1,01-18,낱개1개
PC001059,1,10-08-02,낱개1개
PC001082,1,10-00,낱개1개
PC002653,1,11-17,낱개1개
PC003739,1,11-74-01,낱개1개
PC003744,1,11-74-04,낱개1개
PC002759,1,17-01,낱개1개
PC002764,1,17-02,낱개1개
PC003742,1,11-74-02,낱개1개
PC004325,1,42-36,낱개1개
PC004326,1,42-36-01,낱개1개
PC002891,1,21-108-110-07,낱개1개
CMN200T1EA-21-108-110-13,1,21-108-110-13,소분
SP300G5EA-15-03-10,5,15-03-10,소분
BT10EA-28-43-01,10,28-43-01,소분
PC004307,1,95-256-09-01,낱개1개
PC005526,1,11-222-08-01,낱개1개
PC004737,1,306-69-08-01,낱개1개
PC004740,1,306-33-08-01,낱개1개
PC004298,1,18-311-08-01,낱개1개
PC004299,1,18-311-08-02,낱개1개
PC004300,1,18-311-08-03,낱개1개
PC004301,1,18-311-08-04,낱개1개
PC005008,1,243-238-08-02,낱개1개
PC005548,1,110-166-07-01,낱개1개
PC004376,1,97-35-01-01,낱개1개
PC004341,1,156-191-06-01,낱개1개
PC005332,1,156-274-06-01,낱개1개
PC005045,1,241-134-50-01,낱개1개
PC005735,1,241-135-50-01,낱개1개
PC005722,1,638-134-50-01,낱개1개
PC004841,1,271-34-05-02,낱개1개
PC004901,1,254-173-01-01,낱개1개
PC004900,1,254-173-01-02,낱개1개
PC004349,1,86-66-05-02,낱개1개
PC004336,1,86-66-05-0211,낱개1개
PC005314,1,159-02-01-02,낱개1개
PC005101,1,213-161-05-01,낱개1개
PC004536,1,68-177-05-05,낱개1개
PC004306,1,96-177-05-01,낱개1개
PC005759,1,266-177-10-04,낱개1개
PC004852,1,270-175-05-01,낱개1개
PC004850,1,270-175-05-03,낱개1개
PC004318,1,98-40-05-01,낱개1개
PC004293,1,18-48-04-01,낱개1개
PC005416,1,149-100-04-01,낱개1개
PC004435,1,94-01-04-07,낱개1개
PC005697,1,94-01-04-09,낱개1개
PC005698,1,94-01-04-10,낱개1개
PC005525,1,11-222-30-01,낱개1개
PC000041,1,13-02.,낱개1개
PC005201,1,17-33-30-01,낱개1개
PC005183,1,17-69-30-01,낱개1개
PC004294,1,18-131-30-01,낱개1개
PC004337,1,27-261-30-03,낱개1개
PC005715,1,27-261-30-04,낱개1개
PC004723,1,32-17-30-01,낱개1개
PC004562,1,52-176-30-01,낱개1개
PC004559,1,52-272-30-01,낱개1개
PC005562,1,103-15-30-01,낱개1개
PC005415,1,149-100-30-01,낱개1개
PC005159,1,190-15-30-01,낱개1개
PC004948,1,246-100-30-01,낱개1개
PC004947,1,246-100-30-02,낱개1개
PC004946,1,246-100-30-03,낱개1개
PC004935,1,246-151-30-02,낱개1개
PC004931,1,246-219-30-01,낱개1개
PC004930,1,246-219-30-02,낱개1개
PC004929,1,246-219-30-03,낱개1개
PC004869,1,265-12-30-01,낱개1개
PC004813,1,277-15-30-02,낱개1개
PC004739,1,306-33-30-01,낱개1개
PC004308,1,94-28-03-01,낱개1개
PC002758,1,17-04,낱개1개
PC002105,1,23-85,낱개1개
PC004738,1,306-33-30-02,낱개1개
PC005708,1,215-238-09-03,낱개1개
PC004718,1,32-43-30-01,낱개1개
PC004312,1,36-152-20-02,낱개1개
PC004342,1,11-89-20-01,낱개1개
PC005713,1,15-83,낱개1개
PC004942,1,246-108-10-01,낱개1개
PC004941,1,246-108-20-01,낱개1개
PC004295,1,18-220-20-01,낱개1개
PC005329,1,156-300-02-01,낱개1개
PC004310,1,93-121-02-01,낱개1개
PC005253,1,161-308-02-02,낱개1개
PC005182,1,177-311-02-01,낱개1개
PC004425,1,94-35-02-01,낱개1개
PC004317,1,97-25-02-01,낱개1개
PC004292,1,18-03-20-01,낱개1개
PC004340,1,32-176-30-02,낱개1개
PC004937,1,246-151-20-01,낱개1개
PC004296,1,18-216-20-01,낱개1개
PC004297,1,18-48-20-01,낱개1개
PC004857,1,266-42-20-01,낱개1개
PC004453,1,92-288-20-02,낱개1개
PC004344,1,92-288-20-03,낱개1개
PC005756,1,92-288-86-01,낱개1개
PC005757,1,92-288-86-02,낱개1개
PC005247,1,161-308-20-04,낱개1개
PC005239,1,161-98-20-02,낱개1개
PC004793,1,290-89-10-08,낱개1개
PC004343,1,11-61-09-01,낱개1개
PC004903,1,254-110-10-01,낱개1개
PC004313,1,15-244-10-01,낱개1개
PC004605,1,39-39-10-02,낱개1개
PC004648,1,39-213-10-01,낱개1개
PC004319,1,99-79-10-01,낱개1개
PC004949,1,246-06-10-01,낱개1개
PC005330,1,156-300-01-01,낱개1개
PC005245,1,16-167-150-01,낱개1개
PC004429,1,94-221-01-01,낱개1개
PC005041,1,242-327-130-01,낱개1개
PC005218,1,165-81-130-01,낱개1개
PC005616,1,07-192-120-01,낱개1개
PC004430,1,94-144-01-01,낱개1개
PC005780,1,152-555-89-99,낱개1개
PC005316,1,15-88-10-01,낱개1개
PC005723,1,15-245-150-02,낱개1개
PC005237,1,16-230-10-01,낱개1개
PC004589,1,39-88-10-02,낱개1개
PC004823,1,274-245-10-01,낱개1개
PC000355,1,14-25,낱개1개
PC005318,1,15-86-10-01,낱개1개
MMC1EA-65-54,1,65-54,메밀칩1개
MMC1EA-65-53-02,1,65-53-02,메밀칩1개
MMC1EA-65-53-01,1,65-53-01,메밀칩1개
"PC005875
",1,123-25-55-1,낱개1개
PC004302,1,62-39-01,낱개1개
PC004305,1,62-39-03,낱개1개
PC004304,1,62-39-02,낱개1개
PC004303,1,62-39,낱개1개
PC005904,1,278-15-30-01,낱개1개
PC003738,1,11-74,
